action,cms_account_id,name,legal_name,website,street_address,city,state_province,postal_zip,country,region,timezone,latitude,longitude,segment,marina_type,ownership_type,parent_company,slip_count,slip_mix,avg_boat_size_range,power_demand_intensity,seasonality,expansion_plans,expansion_notes,contact_name,contact_title,contact_email,contact_phone,contact_linkedin,tags,notes,lead_source
NEW,,Brown's Bay Resort,,,,Campbell River,British Columbia,,CA,Pacific,America/Vancouver,,,marina,,,,,,,,,,,,,,,,"british-columbia,pacific,marina",NEW ROW 2026-04-28: found in public marina/directory source (https://ahoybc.com/chart-your-course/marinas-harbours/). AHOY BC states the BC coastal marina/harbour directory lists facilities and services.,chatgpt_research_2026_canada
NEW,,Hartley Bay Fuel Station,,,,Hartley Bay,British Columbia,,CA,Pacific,America/Vancouver,,,marina,,,,,,,,,,,,,,,,"british-columbia,pacific,marina",NEW ROW 2026-04-28: found in public marina/directory source (https://ahoybc.com/chart-your-course/marinas-harbours/). AHOY BC states the BC coastal marina/harbour directory lists facilities and services.,chatgpt_research_2026_canada
NEW,,Mañana Resort & Marina,,,,Galiano Island,British Columbia,,CA,Pacific,America/Vancouver,,,marina,,,,,,,,,,,,,,,,"british-columbia,pacific,marina",NEW ROW 2026-04-28: found in public marina/directory source (https://ahoybc.com/chart-your-course/marinas-harbours/). AHOY BC states the BC coastal marina/harbour directory lists facilities and services.,chatgpt_research_2026_canada
NEW,,Nanaimo Boat Basin,,,,Nanaimo,British Columbia,,CA,Pacific,America/Vancouver,,,marina,,,,,,,,,,,,,,,,"british-columbia,pacific,marina",NEW ROW 2026-04-28: found in public marina/directory source (https://ahoybc.com/chart-your-course/marinas-harbours/). AHOY BC states the BC coastal marina/harbour directory lists facilities and services.,chatgpt_research_2026_canada
NEW,,Oyster Bay Marina,,,,Ladysmith,British Columbia,,CA,Pacific,America/Vancouver,,,marina,,,,,,,,,,,,,,,,"british-columbia,pacific,marina",NEW ROW 2026-04-28: found in public marina/directory source (https://ahoybc.com/chart-your-course/marinas-harbours/). AHOY BC states the BC coastal marina/harbour directory lists facilities and services.,chatgpt_research_2026_canada
NEW,,Pender Harbour Resort and Marina,,,,Garden Bay,British Columbia,,CA,Pacific,America/Vancouver,,,government_dock,,,,,,,,,,,,,,,,"british-columbia,pacific,government-dock",NEW ROW 2026-04-28: found in public marina/directory source (https://ahoybc.com/chart-your-course/marinas-harbours/). AHOY BC states the BC coastal marina/harbour directory lists facilities and services.,chatgpt_research_2026_canada
NEW,,Poets Cove Marina @ Bedwell Harbour,,,,Pender Island,British Columbia,,CA,Pacific,America/Vancouver,,,government_dock,,,,,,,,,,,,,,,,"british-columbia,pacific,government-dock",NEW ROW 2026-04-28: found in public marina/directory source (https://ahoybc.com/chart-your-course/marinas-harbours/). AHOY BC states the BC coastal marina/harbour directory lists facilities and services.,chatgpt_research_2026_canada
NEW,,Secret Cove Marina,,,,Halfmoon Bay,British Columbia,,CA,Pacific,America/Vancouver,,,marina,,,,,,,,,,,,,,,,"british-columbia,pacific,marina",NEW ROW 2026-04-28: found in public marina/directory source (https://ahoybc.com/chart-your-course/marinas-harbours/). AHOY BC states the BC coastal marina/harbour directory lists facilities and services.,chatgpt_research_2026_canada
NEW,,The Marina at Brentwood Bay Resort,,,,Brentwood Bay,British Columbia,,CA,Pacific,America/Vancouver,,,marina,,,,,,,,,,,,,,,,"british-columbia,pacific,marina",NEW ROW 2026-04-28: found in public marina/directory source (https://ahoybc.com/chart-your-course/marinas-harbours/). AHOY BC states the BC coastal marina/harbour directory lists facilities and services.,chatgpt_research_2026_canada
NEW,,Union Steamship Marina Resort,,,,Bowen Island,British Columbia,,CA,Pacific,America/Vancouver,,,marina,,,,,,,,,,,,,,,,"british-columbia,pacific,marina",NEW ROW 2026-04-28: found in public marina/directory source (https://ahoybc.com/chart-your-course/marinas-harbours/). AHOY BC states the BC coastal marina/harbour directory lists facilities and services.,chatgpt_research_2026_canada
