Company,Contact Name,Contact Email,Contact Phone,Street Address,City,State,Zip / Postal,Country,Slips,Stage,Source,Segment,Tags,Notes,Next Step,Due Date,Deal Amount,Probability %,Hardware $,Software $,Services $,Value Driver,Est. Pedestals,Est. Slips Impacted,Est. Close Date,Competitors,Created At,Industry,Relationship Type,Conversion Target,Research Status,Added By Enrichment,Power Service Found,30A Shore Power,50A+ Shore Power,Fuel Dock,Pumpout,Transient Moorage,Marina Size / Moorage Notes,Primary Source URL,Additional Source URLs,Research Notes,QA Confidence,Last Researched,Address Source URL,Address Research Status,Address Confidence
Shelter Bay Marina (West Kelowna),Jennifer Braam (Jenni),shelterbay@rmdgroup.com,250-769-0571,2796 Benedick Road area / Shelter Bay waterfront,West Kelowna,British Columbia,V1Z 1T9,CA,480,contacted,Website / CRM call,Marina,,"Original call in 2025 with Lorraine,

I spoke to Jenny, the marina manager at Shelter Bay Marina  in Kelowna 250-769-0571. She has 2 pedestals that she is looking to replace shortly but is eventually looking to replace 36 pedestals on 2 docks( 18 /dock) with 30 Amp  on both sides( 2 receptacles) .They have 5 additional docks that they will need pedestals for down the road as they are looking to expand and double the size of their docks. I gave her a basic overview of the pilot program and dashboard. Here is the marina map . If someone on the team could reach out to let her know if we could sign her on to the pilot program or if she would need to be on a wait list. Sanad spoke with her after this last summer and stopped by at her marina on his way back from Shuswap. Jenni was awesome (but not decision maker (RMD group)? Would need to get in front of her decision makers. Would be phased approach.",Visit in person with Jenni,Thu May 28 2026 00:00:00 GMT+0000 (Coordinated Universal Time),,,,,,modernization,240,480,,They have home made plastic pvc as pedestals.,Tue May 19 2026 18:34:07 GMT+0000 (Coordinated Universal Time),marine,customer_prospect,,existing - enriched from web,No,Existing 30A prospect need noted in CRM; official source confirms 480 boats/yachts up to 55 ft.,Likely / CRM-confirmed need,Unknown,Unknown,Unknown,Unknown,480 boats/yachts up to 55 ft; expansion/modernization opportunity already noted in CRM.,https://www.shelterbaymarina.com/,https://www.shelterbaymarina.com/moorage/,Existing VoltSafe lead. Retained CRM notes and added official size validation.,high,2026-05-21,https://www.shelterbaymarina.com/,Populated from Real estate listing references Shelter Bay proximity; exact marina street needs final operator confirmation,low
AHOUSAHT HARBOUR AUTHORITY,Marina Contact,,,General Delivery,Regional District of Alberni-Clayoquot,British Columbia,V0R 1A0,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,https://www.predictwind.com/marinas/canada/british-columbia,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,https://www.predictwind.com/marinas/canada/british-columbia,Populated from PredictWind BC marina directory,high
Alder Bay RV Park & Marina,Marina Contact,,,1 Alder Bay Road,Regional District of Mount Waddington,British Columbia,V0N 2R0,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,https://vancouverislandnorth.ca/stakeholder/alder-bay-rv-park-marina/,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,https://vancouverislandnorth.ca/stakeholder/alder-bay-rv-park-marina/,Populated from Vancouver Island North / Alder Bay official contact,high
Alert Bay Harbour,Marina Contact,,,,Regional District of Mount Waddington,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Anchorage Marina Village,Marina Contact,,,BC-1,Regional District of Nanaimo,British Columbia,V9S 4E1,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,https://www.predictwind.com/marinas/canada/british-columbia,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,https://www.predictwind.com/marinas/canada/british-columbia,Populated from PredictWind BC marina directory,medium
Anglers Anchorage Marina,Marina Contact,,,,Brentwood Bay,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
April Point Marina,Marina Contact,,,,Strathcona Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Backeddy Resort & Marina,Marina Contact,,,,Sunshine Coast Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Bamfield East Dock,Marina Contact,,,,Regional District of Alberni-Clayoquot,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Bathgate's Store & Marina,Marina Contact,,,,Sunshine Coast Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Bayshore West Marina,Marina Contact,,,,Metro Vancouver Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Beach Gardens Resort & Marina,Marina Contact,,,,Powell River Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Becher Bay Marina Ltd,Marina Contact,,,241 Becher Bay Rd,Capital Regional District,British Columbia,V9Z 1B7,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,https://www.predictwind.com/marinas/canada/british-columbia,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,https://www.predictwind.com/marinas/canada/british-columbia,Populated from PredictWind BC marina directory,high
Bella Coola Harbour,Marina Contact,,,,Central Coast Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Black Rock Landing,Marina Contact,,,,Regional District of Alberni-Clayoquot,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Blind Channel Resort,Marina Contact,,,,Strathcona Regional District,British Columbia,,CA,2000 ft dock,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - enriched from web,No,15A / 30A / 50A,Yes,Yes,Yes,Unknown,Yes,"2,000 ft of dock space; 15/30/50A service listed.",https://www.predictwind.com/marinas/canada/british-columbia,,Sourced from PredictWind BC marina directory.,medium,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Blind Channel Resort- Marina,Marina Contact,,,,Strathcona Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Bliss Landing Private Estates & Marina,Marina Contact,,,,Powell River Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Blue Heron Marina Ltd,Marina Contact,,,1476 Pemberton Ave,Squamish-Lillooet Regional District,British Columbia,V8B 0K2,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,https://www.predictwind.com/marinas/canada/british-columbia,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,https://www.predictwind.com/marinas/canada/british-columbia,Populated from PredictWind BC marina directory,high
Bluenose Marina,Marina Contact,,,1765 Cowichan Bay Rd,Cowichan Valley Regional District,British Columbia,V0R 1N0,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,https://www.predictwind.com/marinas/canada/british-columbia,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,https://www.predictwind.com/marinas/canada/british-columbia,Populated from PredictWind BC marina directory,medium
Bowen Island Marina & The Pier,Marina Contact,,,,Metro Vancouver Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Brentwood Bay Resort,Marina Contact,,,,Brentwood Bay,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
