row_num,csv_company,csv_city,csv_state,action,match_type,lead_id,account_id,match_reason,fields_updated,fields_skipped,notes_appended,conflict_note
1,Shelter Bay Marina (West Kelowna),West Kelowna,British Columbia,SKIP,Skipped,,,hard-blocked,(none),(none),No,"HARD BLOCKED: ""Shelter Bay Marina (West Kelowna)"" is on the permanent exclusion list"
2,AHOUSAHT HARBOUR AUTHORITY,Regional District of Alberni-Clayoquot,British Columbia,CONFLICT_REVIEW,Both,10279,247,name+province,street_address=General Delivery | postal_zip=V0R 1A0 | country=Canada,city(db:Regional District of Alberni-Clayoq) | state_province(db:British Columbia),Yes,Lead #10279 also matches — review for merge
3,Alder Bay RV Park & Marina,Regional District of Mount Waddington,British Columbia,CONFLICT_REVIEW,Both,10280,248,name+province,street_address=1 Alder Bay Road | postal_zip=V0N 2R0 | country=Canada,city(db:Regional District of Mount Waddingt) | state_province(db:British Columbia),Yes,Lead #10280 also matches — review for merge
4,Alert Bay Harbour,Regional District of Mount Waddington,British Columbia,CONFLICT_REVIEW,Both,10281,249,name+province,country=Canada,city(db:Regional District of Mount Waddingt) | state_province(db:British Columbia),Yes,Lead #10281 also matches — review for merge
5,Anchorage Marina Village,Regional District of Nanaimo,British Columbia,CONFLICT_REVIEW,Both,10282,250,name+province,street_address=BC-1 | postal_zip=V9S 4E1 | country=Canada,city(db:Regional District of Nanaimo) | state_province(db:British Columbia),Yes,Lead #10282 also matches — review for merge
6,Anglers Anchorage Marina,Brentwood Bay,British Columbia,CONFLICT_REVIEW,Both,10283,251,name+province,country=Canada,city(db:Brentwood Bay) | state_province(db:British Columbia),Yes,Lead #10283 also matches — review for merge
7,April Point Marina,Strathcona Regional District,British Columbia,CONFLICT_REVIEW,Both,10284,252,name+province,country=Canada,city(db:Strathcona Regional District) | state_province(db:British Columbia),Yes,Lead #10284 also matches — review for merge
8,Backeddy Resort & Marina,Sunshine Coast Regional District,British Columbia,CONFLICT_REVIEW,Both,10286,253,name+province,country=Canada,city(db:Sunshine Coast Regional District) | state_province(db:British Columbia),Yes,Lead #10286 also matches — review for merge
9,Bamfield East Dock,Regional District of Alberni-Clayoquot,British Columbia,CONFLICT_REVIEW,Both,10287,254,name+province,country=Canada,city(db:Regional District of Alberni-Clayoq) | state_province(db:British Columbia),Yes,Lead #10287 also matches — review for merge
10,Bathgate's Store & Marina,Sunshine Coast Regional District,British Columbia,CONFLICT_REVIEW,Both,10288,255,name+province,country=Canada,city(db:Sunshine Coast Regional District) | state_province(db:British Columbia),Yes,Lead #10288 also matches — review for merge
11,Bayshore West Marina,Metro Vancouver Regional District,British Columbia,CONFLICT_REVIEW,Both,10289,256,name+province,country=Canada,city(db:Metro Vancouver Regional District) | state_province(db:British Columbia),Yes,Lead #10289 also matches — review for merge
12,Beach Gardens Resort & Marina,Powell River Regional District,British Columbia,CONFLICT_REVIEW,Both,10290,257,name+province,country=Canada,city(db:Powell River Regional District) | state_province(db:British Columbia),Yes,Lead #10290 also matches — review for merge
13,Becher Bay Marina Ltd,Capital Regional District,British Columbia,CONFLICT_REVIEW,Both,10291,258,name+province,street_address=241 Becher Bay Rd | postal_zip=V9Z 1B7 | country=Canada,city(db:Capital Regional District) | state_province(db:British Columbia),Yes,Lead #10291 also matches — review for merge
14,Bella Coola Harbour,Central Coast Regional District,British Columbia,CONFLICT_REVIEW,Both,10292,259,name+province,country=Canada,city(db:Central Coast Regional District) | state_province(db:British Columbia),Yes,Lead #10292 also matches — review for merge
15,Black Rock Landing,Regional District of Alberni-Clayoquot,British Columbia,CONFLICT_REVIEW,Both,10293,275,name+province,country=Canada,city(db:Regional District of Alberni-Clayoq) | state_province(db:British Columbia),Yes,Lead #10293 also matches — review for merge
16,Blind Channel Resort,Strathcona Regional District,British Columbia,CONFLICT_REVIEW,Both,10294,276,name+province,country=Canada,city(db:Strathcona Regional District) | state_province(db:British Columbia),Yes,Lead #10294 also matches — review for merge
17,Blind Channel Resort- Marina,Strathcona Regional District,British Columbia,SKIP,Skipped,10294,276,name+province,(none),(none),No,DUPLICATE PAIR: Lead #10294 + Account #276 already handled by an earlier CSV row
18,Bliss Landing Private Estates & Marina,Powell River Regional District,British Columbia,CONFLICT_REVIEW,Both,10296,278,name+province,country=Canada,city(db:Powell River Regional District) | state_province(db:British Columbia),Yes,Lead #10296 also matches — review for merge
19,Blue Heron Marina Ltd,Squamish-Lillooet Regional District,British Columbia,CONFLICT_REVIEW,Both,10297,279,name+province,street_address=1476 Pemberton Ave | postal_zip=V8B 0K2 | country=Canada,city(db:Squamish-Lillooet Regional District) | state_province(db:British Columbia),Yes,Lead #10297 also matches — review for merge
20,Bluenose Marina,Cowichan Valley Regional District,British Columbia,CONFLICT_REVIEW,Both,10298,280,name+province,street_address=1765 Cowichan Bay Rd | postal_zip=V0R 1N0 | country=Canada,city(db:Cowichan Valley Regional District) | state_province(db:British Columbia),Yes,Lead #10298 also matches — review for merge
21,Bowen Island Marina & The Pier,Metro Vancouver Regional District,British Columbia,CONFLICT_REVIEW,Both,10299,281,name+province,country=Canada,city(db:Metro Vancouver Regional District) | state_province(db:British Columbia),Yes,Lead #10299 also matches — review for merge
22,Brentwood Bay Resort,Brentwood Bay,British Columbia,CONFLICT_REVIEW,Both,10300,282,name+province,country=Canada,city(db:Brentwood Bay) | state_province(db:British Columbia),Yes,Lead #10300 also matches — review for merge
23,Bridges Marina,Delta,British Columbia,CONFLICT_REVIEW,Both,10301,283,name+province,country=Canada,city(db:Delta) | state_province(db:British Columbia),Yes,Lead #10301 also matches — review for merge
24,Burrard Civic Marina,Metro Vancouver Regional District,British Columbia,CONFLICT_REVIEW,Both,10302,284,name+province,country=Canada,city(db:Metro Vancouver Regional District) | state_province(db:British Columbia),Yes,Lead #10302 also matches — review for merge
25,Burrard Yacht Club,Metro Vancouver Regional District,British Columbia,CONFLICT_REVIEW,Both,10303,285,name+province,country=Canada,city(db:Metro Vancouver Regional District) | state_province(db:British Columbia),Yes,Lead #10303 also matches — review for merge
26,Canadian Princess Marina,Regional District of Alberni-Clayoquot,British Columbia,CONFLICT_REVIEW,Both,10304,286,name+province,country=Canada,city(db:Regional District of Alberni-Clayoq) | state_province(db:British Columbia),Yes,Lead #10304 also matches — review for merge
27,Canoe Cove Marina & Boatyard,Capital Regional District,British Columbia,CONFLICT_REVIEW,Both,10305,287,name+province,country=Canada,city(db:Capital Regional District) | state_province(db:British Columbia),Yes,Lead #10305 also matches — review for merge
28,Capital City Yacht Club,Capital Regional District,British Columbia,CONFLICT_REVIEW,Both,10306,288,name+province,country=Canada,city(db:Capital Regional District) | state_province(db:British Columbia),Yes,Lead #10306 also matches — review for merge
29,Captain's Cove Marina - Work Yard,Metro Vancouver Regional District,British Columbia,CONFLICT_REVIEW,Both,10307,289,name+province,country=Canada,city(db:Metro Vancouver Regional District) | state_province(db:British Columbia),Yes,Lead #10307 also matches — review for merge
30,Cedar Grove Marina & Custom Yacht Sales,Capital Regional District,British Columbia,CONFLICT_REVIEW,Both,10308,290,name+province,country=Canada,city(db:Capital Regional District) | state_province(db:British Columbia),Yes,Lead #10308 also matches — review for merge
31,Centennial Park Boat Launch & Moorage,Regional District of Alberni-Clayoquot,British Columbia,CONFLICT_REVIEW,Both,10309,291,name+province,country=Canada,city(db:Regional District of Alberni-Clayoq) | state_province(db:British Columbia),Yes,Lead #10309 also matches — review for merge
32,Centennial Pier -Port Alberni,Regional District of Alberni-Clayoquot,British Columbia,CONFLICT_REVIEW,Both,10310,292,name+province,country=Canada,city(db:Regional District of Alberni-Clayoq) | state_province(db:British Columbia),Yes,Lead #10310 also matches — review for merge
33,Cheanuh Marina,Capital Regional District,British Columbia,CONFLICT_REVIEW,Both,10311,293,name+province,street_address=4901B East Sooke Rd | country=Canada,city(db:Capital Regional District) | state_province(db:British Columbia),Yes,Lead #10311 also matches — review for merge
34,Cherry Point Marina,Cowichan Valley Regional District,British Columbia,CONFLICT_REVIEW,Both,10312,294,name+province,street_address=1241 Sutherland Dr | postal_zip=V0R 1N2 | country=Canada,city(db:Cowichan Valley Regional District) | state_province(db:British Columbia),Yes,Lead #10312 also matches — review for merge
35,China Creek Campground and Marina,Regional District of Alberni-Clayoquot,British Columbia,CONFLICT_REVIEW,Both,10313,295,name+province,country=Canada,city(db:Regional District of Alberni-Clayoq) | state_province(db:British Columbia),Yes,Lead #10313 also matches — review for merge
36,Clutesi Haven Marina,Regional District of Alberni-Clayoquot,British Columbia,CONFLICT_REVIEW,Both,10314,296,name+province,country=Canada,city(db:Regional District of Alberni-Clayoq) | state_province(db:British Columbia),Yes,Lead #10314 also matches — review for merge
37,Coal Harbour Marina,Metro Vancouver Regional District,British Columbia,CONFLICT_REVIEW,Both,10315,297,name+province,street_address=1525 Coal Harbour Quay | postal_zip=V6G 3E7 | country=Canada,city(db:Metro Vancouver Regional District) | state_province(db:British Columbia),Yes,Lead #10315 also matches — review for merge
38,Coast Marina,Strathcona Regional District,British Columbia,CONFLICT_REVIEW,Both,10316,298,name+province,country=Canada,city(db:Strathcona Regional District) | state_province(db:British Columbia),Yes,Lead #10316 also matches — review for merge
39,Coast Victoria Hotel & Marina,Capital Regional District,British Columbia,CONFLICT_REVIEW,Both,10317,299,name+province,street_address=146 Kingston St | postal_zip=V8V 1V4 | country=Canada,city(db:Capital Regional District) | state_province(db:British Columbia),Yes,Lead #10317 also matches — review for merge
40,Coho Marina Resort,Sunshine Coast Regional District,British Columbia,CONFLICT_REVIEW,Both,10318,300,name+province,country=Canada,city(db:Sunshine Coast Regional District) | state_province(db:British Columbia),Yes,Lead #10318 also matches — review for merge
41,Comox Municipal Marina,Comox Valley Regional District,British Columbia,CONFLICT_REVIEW,Both,10319,301,name+province,street_address=121 Port Augusta St | postal_zip=V9M 3N8 | country=Canada,city(db:Comox Valley Regional District) | state_province(db:British Columbia),Yes,Lead #10319 also matches — review for merge
42,Comox Valley Harbour Authority,Comox Valley Regional District,British Columbia,CONFLICT_REVIEW,Both,10320,302,name+province,country=Canada,city(db:Comox Valley Regional District) | state_province(db:British Columbia),Yes,Lead #10320 also matches — review for merge
43,Cowbay Harbour,Skeena-Queen Charlotte Regional District,British Columbia,CONFLICT_REVIEW,Both,10321,303,name+province,country=Canada,city(db:Skeena-Queen Charlotte Regional Dis) | state_province(db:British Columbia),Yes,Lead #10321 also matches — review for merge
44,Cowichan Bay Fishermen's Wharf Assn,Cowichan Valley Regional District,British Columbia,CONFLICT_REVIEW,Both,10322,304,name+province,street_address=1699 Cowichan Bay Rd | postal_zip=V0R 1N0 | country=Canada,city(db:Cowichan Valley Regional District) | state_province(db:British Columbia),Yes,Lead #10322 also matches — review for merge
45,Cowichan Bay Marina Ltd,Cowichan Valley Regional District,British Columbia,CONFLICT_REVIEW,Both,10323,305,name+province,street_address=1721 Cowichan Bay Rd | postal_zip=V0R 1N0 | country=Canada,city(db:Cowichan Valley Regional District) | state_province(db:British Columbia),Yes,Lead #10323 also matches — review for merge
46,Crescent Beach Marina,Metro Vancouver Regional District,British Columbia,CONFLICT_REVIEW,Both,10324,306,name+province,country=Canada,city(db:Metro Vancouver Regional District) | state_province(db:British Columbia),Yes,Lead #10324 also matches — review for merge
47,Critter Cove Marina,Strathcona Regional District,British Columbia,CONFLICT_REVIEW,Both,10325,307,name+province,country=Canada,city(db:Strathcona Regional District) | state_province(db:British Columbia),Yes,Lead #10325 also matches — review for merge
48,Crofton Harbour,Cowichan Valley Regional District,British Columbia,CONFLICT_REVIEW,Both,10326,308,name+province,country=Canada,city(db:Cowichan Valley Regional District) | state_province(db:British Columbia),Yes,Lead #10326 also matches — review for merge
49,Dawsons Landing Marina,Central Coast Regional District,British Columbia,CONFLICT_REVIEW,Both,10327,309,name+province,country=Canada,city(db:Central Coast Regional District) | state_province(db:British Columbia),Yes,Lead #10327 also matches — review for merge
50,DEEP BAY MARINA,Regional District of Nanaimo,British Columbia,CONFLICT_REVIEW,Both,10328,310,name+province,country=Canada,city(db:Regional District of Nanaimo) | state_province(db:British Columbia),Yes,Lead #10328 also matches — review for merge
51,Deep Cove Marina,Capital Regional District,British Columbia,CONFLICT_REVIEW,Both,10329,311,name+province,country=Canada,city(db:Capital Regional District) | state_province(db:British Columbia),Yes,Lead #10329 also matches — review for merge
52,DEEP COVE NORTH SHORE MARINA,North Vancouver,British Columbia,CONFLICT_REVIEW,Both,10330,312,name+province,street_address=10990 Madrona Dr | postal_zip=V7G 1B8 | country=Canada,city(db:North Vancouver) | state_province(db:British Columbia),Yes,Lead #10330 also matches — review for merge
53,Degnen Bay Government Wharf,Regional District of Nanaimo,British Columbia,CONFLICT_REVIEW,Both,10331,313,name+province,country=Canada,city(db:Regional District of Nanaimo) | state_province(db:British Columbia),Yes,Lead #10331 also matches — review for merge
54,DelKatla Slough Harbour Authority,Skeena-Queen Charlotte Regional District,British Columbia,CONFLICT_REVIEW,Both,10332,314,name+province,country=Canada,city(db:Skeena-Queen Charlotte Regional Dis) | state_province(db:British Columbia),Yes,Lead #10332 also matches — review for merge
55,Denham Bay Wilderness Retreat,Strathcona Regional District,British Columbia,CONFLICT_REVIEW,Both,10333,315,name+province,country=Canada,city(db:Strathcona Regional District) | state_province(db:British Columbia),Yes,Lead #10333 also matches — review for merge
