action,cms_account_id,name,legal_name,website,street_address,city,state_province,postal_zip,country,region,timezone,latitude,longitude,segment,marina_type,ownership_type,parent_company,slip_count,slip_mix,avg_boat_size_range,power_demand_intensity,seasonality,expansion_plans,expansion_notes,contact_name,contact_title,contact_email,contact_phone,contact_linkedin,tags,notes,lead_source
EXAMPLE_NEW,,Example New Marina Inc.,Example New Marina Limited,https://example-marina.ca,123 Harbour Drive,Kingston,Ontario,K7L 5H6,CA,Central,America/Toronto,44.2312,-76.4860,marina,private,family,,180,"60% seasonal, 40% transient",20-45 ft,medium,May-October,false,,Jane Doe,General Manager,jane@example-marina.ca,+1-613-555-0123,https://www.linkedin.com/in/example-jane-doe,"great-lakes,ontario,private","Family-owned since 1978. 180 wet slips, dry storage for ~60. Power: 30A on most slips, 50A on 12 transient slips. Source: marina website 2026-04-28.",chatgpt_research_2026_canada
EXAMPLE_ENRICH,12345,Existing Marina Name (DO NOT CHANGE NAME),,https://newly-found-website.ca,,,,,,,,,,,,,,210,,,,,,,Bob Smith,Dockmaster,bob@newly-found-website.ca,+1-902-555-9876,,,"ENRICHMENT 2026-04-28: filled website, slip_count=210, primary contact (dockmaster) from public marina site.",
EXAMPLE_KEEP,67890,Existing Marina With No New Info Found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXISTING,1024,Lake Newell Resort Marina,,,,Brooks,Alberta,,CA,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,1028,Glenmore Reservoir Marina,,,,Calgary,Alberta,,CA,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,1029,Chestermere Lake Marina,,,,Chestermere,Alberta,,CA,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,1030,Ghost Lake Marina,,,,Cochrane,Alberta,,CA,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,1033,Cold Lake Marina,,,,Cold Lake,Alberta,,CA,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,1035,Gleniffer Lake Marina,,,,Gleniffer Lake,Alberta,,CA,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,1038,Gull Lake Marina,,,,Gull Lake,Alberta,,CA,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,186,Lac La Biche Marina,,,,Lac La Biche,Alberta,,CA,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,1040,Lac Ste. Anne Marina,,,,Lac Ste. Anne,Alberta,,CA,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,1034,Pigeon Lake Provincial Park Marina,,,,Mulhurst Bay,Alberta,,CA,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,1003,Meridian Beach,,,,"No Image Available\\
\\
Parkland Beach",Alberta,,CA,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,1004,RV Haven (Parkland Beach) Marina,,,,Parkland Beach,Alberta,,CA,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,1027,Marina Village at Pigeon Lake,,,,Pigeon Lake,Alberta,,CA,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,1036,Pine Lake Marina,,,,Pine Lake,Alberta,,CA,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,1037,Buffalo Lake Marina,,,,Rochon Sands,Alberta,,CA,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,1032,Crimson Lake Marina,,,,Rocky Mountain House,Alberta,,CA,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,1026,Jarvis Bay Provincial Park Marina,,,,Sylvan Lake,Alberta,,CA,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,1025,Sylvan Lake Marina Bay,,,,Sylvan Lake,Alberta,,CA,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,1031,Wabamun Lake Marina,,,,Wabamun,Alberta,,CA,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,1039,Wizard Lake Marina,,,,Wizard Lake,Alberta,,CA,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,62,Innovate BC,,https://www.innovatebc.ca/programs/,,,BC,,Canada,,,,,partner,,,,,,,,,false,,,,,,,,,
EXISTING,663,Anglers Anchorage Marina,,,,Brentwood Bay,British Columbia,,CA,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,704,Brentwood Bay Resort,,,,Brentwood Bay,British Columbia,,CA,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
