action,cms_account_id,name,legal_name,website,street_address,city,state_province,postal_zip,country,region,timezone,latitude,longitude,segment,marina_type,ownership_type,parent_company,slip_count,slip_mix,avg_boat_size_range,power_demand_intensity,seasonality,expansion_plans,expansion_notes,contact_name,contact_title,contact_email,contact_phone,contact_linkedin,tags,notes,lead_source
EXAMPLE_NEW,,Example New Marina Inc.,Example New Marina Limited,https://example-marina.com,123 Harbour Drive,Fort Lauderdale,Florida,33301,US,,America/New_York,26.1224,-80.1373,marina,private,family,,180,"60% seasonal, 40% transient",20-45 ft,medium,May-October,false,,Jane Doe,General Manager,jane@example-marina.com,+1-555-555-0123,https://www.linkedin.com/in/example-jane-doe,"atlantic,florida,private,big-yacht","Family-owned since 1978. 180 wet slips, dry storage for ~60. Power: 30A on most slips, 50A on 12 transient slips. Source: marina website 2026-04-28.",chatgpt_research_2026_usa
EXAMPLE_ENRICH,12345,Existing Marina Name (DO NOT CHANGE NAME),,https://newly-found-website.com,,,,,,,,,,,,,,210,,,,,,,Bob Smith,Dockmaster,bob@newly-found-website.com,+1-757-555-9876,,,"ENRICHMENT 2026-04-28: filled website, slip_count=210, primary contact (dockmaster) from public marina site.",
EXAMPLE_KEEP,67890,Existing Marina With No New Info Found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXISTING,6776,Franklin Ferry Marina in,,,520 Marina Rd,Adger,Alabama,35006,US,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,1395,Joe Branch Marina in,,,604 Joe Branch Rd,Adger,Alabama,35006,US,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,10400,Dixie Sailing Club in,,,767 New Hope Church Road,Alexander City,Alabama,35010,US,,,,,Less than 100,,,,12,,,,,false,,,,,,,,,marina_directory
EXISTING,1406,Kowaliga Marina in,,,255 Kowaliga Marina Road,Alexander City,Alabama,35010,US,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,1407,River North Marina in,,,250 River North Marina Road,Alexander City,Alabama,35010,US,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,1408,The Ridge Marina in,,,450 Ridge Marina Way,Alexander City,Alabama,35077,US,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,421,Wind Creek State Park Marina in,,,4325 State Hwy 128,Alexander City,Alabama,35010,US,,,,,100 to 300,,,,100,,,,,false,,,,,,,,,marina_directory
EXISTING,7982,Duncan Bridge Marina in,,,55 Marina Drive,Arley,Alabama,35541,US,,,,,Less than 100,,,,60,,,,,false,,,,,,,,,marina_directory
EXISTING,7220,Canoe Creek Marina in,,,41124 US-411,Ashville,Alabama,35953,US,,,,,Less than 100,,,,85,,,,,false,,,,,,,,,marina_directory
EXISTING,6723,Lucy's Branch Marina in,,,6049 Bay Village Drive,Athens,Alabama,35611,US,,,,,100 to 300,,,,110,,,,,false,,,,,,,,,marina_directory
EXISTING,6765,Master Marine Inc. in,,,14284 Shell Belt Road,Bayou La Batre,Alabama,36509,US,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,9546,Pirate's Marina Cove in,,,595 Marina Parkway,Carrollton,Alabama,35447,US,,,,,Less than 100,,,,27,,,,,false,,,,,,,,,marina_directory
EXISTING,10234,Little River Marina and Lodge in,,,1780 County Rd 102,Cedar Bluff,Alabama,35959,US,,,,,Less than 100,,,,15,,,,,false,,,,,,,,,marina_directory
EXISTING,6777,B. Forrest Camp and RV in,,,183 County Rd 379,Centre,Alabama,35960,US,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,1409,Lake Mitchell Marina in,,,520 County Road 469,Clanton,Alabama,35046,US,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,11001,DeltaPort Marina in,,,5080 Green Dr,Coden,Alabama,36523,US,,,,,Less than 100,,,,2,,,,,false,,,,,,,,,marina_directory
EXISTING,1400,Paradise Point Marina & RV in,,,231 Paradise Point Dr,Columbiana,Alabama,35051,US,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,7981,Eagle Cove Marina & RV Park in,,,11912 Recreation Area Rd,Cottondale,Alabama,35453,US,,,,,Less than 100,,,,60,,,,,false,,,,,,,,,marina_directory
EXISTING,7088,Hide-A-Way Harbor Marina and Service in,,,12420 Hide-A-Way Lane,Cottondale,Alabama,35453,US,,,,,Less than 100,,,,90,,,,,false,,,,,,,,,marina_directory
EXISTING,11003,Speegle's Marina and Campground in,,,7146 County Road 310,Crane Hill,Alabama,35053,US,,,,,Less than 100,,,,2,,,,,false,,,,,,,,,marina_directory
EXISTING,9322,Trident Marina in,,,21680 County Rd 222,Crane Hill,Alabama,35053,US,,,,,Less than 100,,,,30,,,,,false,,,,,,,,,marina_directory
EXISTING,6767,Squirrel's Marina in,,,288 Co Rd 4010,Crane hill,Alabama,35054,US,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,9865,River Delta Marina in,,,2350 Dead Lake Marina Road,Creola,Alabama,36525,US,,,,,Less than 100,,,,20,,,,,false,,,,,,,,,marina_directory
EXISTING,10850,Coosa Island Marina in,,,1080 Coosa Island Rd,Cropwell,Alabama,35054,US,,,,,Less than 100,,,,5,,,,,false,,,,,,,,,marina_directory
EXISTING,11004,General Lee Marina in,,,1367 River Road,Cropwell,Alabama,35054,US,,,,,Less than 100,,,,2,,,,,false,,,,,,,,,marina_directory
EXISTING,9132,Rivers Edge Marina in,,,79 Rabbit Branch Cir,Cropwell,Alabama,35054,US,,,,,Less than 100,,,,35,,,,,false,,,,,,,,,marina_directory
EXISTING,9868,Sundance Marina in,,,141 Sundance Cir,Cropwell,Alabama,35054,US,,,,,Less than 100,,,,20,,,,,false,,,,,,,,,marina_directory
EXISTING,1397,Misty Harbor Marina in,,,750 County Road 234,Cullman,Alabama,35057,US,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,7485,Smith Lake Marina in,,,175 Co Rd 312,Cullman,Alabama,35057,US,,,,,Less than 100,,,,75,,,,,false,,,,,,,,,marina_directory
EXISTING,6774,Blue Creek Marina in,,,7280 AL-49,Dadeville,Alabama,36853,US,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,10399,Chuck's Marina in,,,237 Marina Rd,Dadeville,Alabama,36853,US,,,,,Less than 100,,,,12,,,,,false,,,,,,,,,marina_directory
EXISTING,6036,Harbor Pointe Marina in,,,397 Marina Point Rd,Dadeville,Alabama,36853,US,,,,,100 to 300,,,,157,,,,,false,,,,,,,,,marina_directory
